Height	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
82.4	-0.3521	11.0632	0.08244	8.668	9.189	9.513	9.691	9.973	10.17	10.47	11.063	11.702	12.066	12.321	12.712	12.976	13.493	14.448
82.5	-0.3521	11.0851	0.08241	8.686	9.208	9.532	9.71	9.993	10.19	10.491	11.085	11.725	12.089	12.345	12.737	13.001	13.519	14.475
82.6	-0.3521	11.1071	0.08238	8.704	9.227	9.552	9.73	10.013	10.211	10.512	11.107	11.748	12.113	12.369	12.761	13.026	13.545	14.502
82.7	-0.3521	11.1293	0.08235	8.722	9.246	9.571	9.75	10.034	10.232	10.534	11.129	11.771	12.137	12.393	12.786	13.051	13.571	14.53
82.8	-0.3521	11.1516	0.08231	8.741	9.265	9.591	9.77	10.054	10.253	10.555	11.152	11.795	12.161	12.417	12.811	13.076	13.597	14.557
82.9	-0.3521	11.174	0.08228	8.759	9.285	9.611	9.79	10.075	10.273	10.576	11.174	11.818	12.185	12.442	12.836	13.101	13.623	14.585
83	-0.3521	11.1966	0.08225	8.777	9.304	9.631	9.81	10.096	10.295	10.598	11.197	11.842	12.209	12.466	12.861	13.127	13.649	14.613
83.1	-0.3521	11.2193	0.08222	8.796	9.323	9.651	9.831	10.117	10.316	10.62	11.219	11.866	12.233	12.491	12.887	13.153	13.676	14.641
83.2	-0.3521	11.2422	0.08219	8.815	9.343	9.671	9.851	10.138	10.337	10.642	11.242	11.89	12.258	12.516	12.912	13.179	13.703	14.669
83.3	-0.3521	11.2651	0.08215	8.834	9.363	9.692	9.872	10.159	10.359	10.664	11.265	11.913	12.282	12.541	12.938	13.205	13.73	14.697
83.4	-0.3521	11.2882	0.08212	8.852	9.383	9.712	9.893	10.18	10.38	10.686	11.288	11.938	12.307	12.566	12.964	13.231	13.757	14.726
83.5	-0.3521	11.3114	0.08209	8.871	9.403	9.732	9.913	10.201	10.402	10.708	11.311	11.962	12.332	12.591	12.99	13.257	13.784	14.754
83.6	-0.3521	11.3347	0.08205	8.891	9.423	9.753	9.935	10.223	10.424	10.73	11.335	11.986	12.357	12.617	13.016	13.284	13.811	14.783
83.7	-0.3521	11.3581	0.08202	8.91	9.443	9.774	9.956	10.244	10.445	10.753	11.358	12.011	12.382	12.642	13.042	13.31	13.838	14.812
83.8	-0.3521	11.3817	0.08198	8.929	9.463	9.795	9.977	10.266	10.468	10.775	11.382	12.035	12.407	12.668	13.068	13.337	13.866	14.841
83.9	-0.3521	11.4053	0.08195	8.949	9.484	9.816	9.998	10.288	10.49	10.798	11.405	12.06	12.432	12.694	13.094	13.364	13.894	14.87
84	-0.3521	11.429	0.08191	8.968	9.504	9.837	10.019	10.31	10.512	10.82	11.429	12.085	12.458	12.719	13.121	13.391	13.921	14.899
84.1	-0.3521	11.4529	0.08188	8.988	9.525	9.858	10.041	10.332	10.534	10.843	11.453	12.11	12.483	12.745	13.147	13.418	13.949	14.928
84.2	-0.3521	11.4768	0.08184	9.007	9.545	9.879	10.062	10.354	10.557	10.866	11.477	12.135	12.509	12.771	13.174	13.445	13.977	14.957
84.3	-0.3521	11.5007	0.08181	9.027	9.566	9.9	10.084	10.376	10.579	10.889	11.501	12.16	12.535	12.797	13.201	13.472	14.005	14.987
84.4	-0.3521	11.5248	0.08177	9.047	9.587	9.922	10.106	10.398	10.601	10.912	11.525	12.185	12.56	12.823	13.227	13.499	14.033	15.016
84.5	-0.3521	11.549	0.08174	9.067	9.607	9.943	10.127	10.42	10.624	10.935	11.549	12.21	12.586	12.85	13.254	13.527	14.061	15.046
84.6	-0.3521	11.5732	0.0817	9.087	9.628	9.965	10.149	10.442	10.647	10.958	11.573	12.235	12.612	12.876	13.281	13.554	14.089	15.076
84.7	-0.3521	11.5975	0.08166	9.107	9.649	9.986	10.171	10.465	10.67	10.982	11.598	12.261	12.638	12.902	13.308	13.581	14.117	15.106
84.8	-0.3521	11.6218	0.08163	9.127	9.67	10.008	10.193	10.487	10.692	11.005	11.622	12.286	12.664	12.929	13.335	13.609	14.146	15.136
84.9	-0.3521	11.6462	0.08159	9.147	9.691	10.029	10.215	10.51	10.715	11.028	11.646	12.312	12.69	12.955	13.363	13.636	14.174	15.165
85	-0.3521	11.6707	0.08156	9.167	9.712	10.051	10.237	10.532	10.738	11.052	11.671	12.337	12.716	12.982	13.39	13.664	14.203	15.196
85.1	-0.3521	11.6952	0.08152	9.187	9.734	10.073	10.259	10.555	10.761	11.075	11.695	12.363	12.743	13.009	13.417	13.692	14.231	15.226
85.2	-0.3521	11.7198	0.08148	9.208	9.755	10.095	10.281	10.578	10.784	11.099	11.72	12.389	12.769	13.035	13.444	13.719	14.26	15.256
85.3	-0.3521	11.7444	0.08145	9.228	9.776	10.117	10.303	10.6	10.807	11.122	11.744	12.414	12.795	13.062	13.472	13.747	14.289	15.286
85.4	-0.3521	11.769	0.08141	9.248	9.798	10.138	10.326	10.623	10.83	11.146	11.769	12.44	12.822	13.089	13.499	13.775	14.317	15.316
85.5	-0.3521	11.7937	0.08138	9.268	9.819	10.16	10.348	10.646	10.853	11.17	11.794	12.466	12.848	13.116	13.527	13.803	14.346	15.346
85.6	-0.3521	11.8184	0.08134	9.289	9.84	10.182	10.37	10.668	10.876	11.193	11.818	12.492	12.874	13.143	13.554	13.831	14.375	15.377
85.7	-0.3521	11.8431	0.08131	9.309	9.861	10.204	10.392	10.691	10.899	11.217	11.843	12.517	12.901	13.17	13.582	13.859	14.404	15.407
85.8	-0.3521	11.8678	0.08128	9.329	9.883	10.226	10.414	10.714	10.922	11.241	11.868	12.543	12.927	13.196	13.61	13.887	14.433	15.438
85.9	-0.3521	11.8926	0.08124	9.35	9.904	10.248	10.437	10.737	10.946	11.264	11.893	12.569	12.954	13.223	13.637	13.915	14.462	15.468
86	-0.3521	11.9173	0.08121	9.37	9.925	10.27	10.459	10.759	10.969	11.288	11.917	12.595	12.98	13.25	13.665	13.943	14.49	15.498
86.1	-0.3521	11.9421	0.08118	9.39	9.947	10.292	10.481	10.782	10.992	11.312	11.942	12.621	13.007	13.277	13.692	13.971	14.52	15.529
86.2	-0.3521	11.9668	0.08114	9.411	9.968	10.314	10.504	10.805	11.015	11.335	11.967	12.647	13.033	13.304	13.72	13.999	14.548	15.559
86.3	-0.3521	11.9916	0.08111	9.431	9.989	10.336	10.526	10.828	11.038	11.359	11.992	12.673	13.06	13.331	13.747	14.027	14.577	15.59
86.4	-0.3521	12.0163	0.08108	9.451	10.011	10.358	10.548	10.851	11.061	11.383	12.016	12.699	13.086	13.358	13.775	14.055	14.606	15.62
86.5	-0.3521	12.0411	0.08105	9.472	10.032	10.38	10.57	10.873	11.084	11.406	12.041	12.724	13.113	13.385	13.803	14.084	14.635	15.651
86.6	-0.3521	12.0658	0.08102	9.492	10.053	10.401	10.592	10.896	11.108	11.43	12.066	12.75	13.139	13.412	13.83	14.112	14.664	15.681
86.7	-0.3521	12.0905	0.08099	9.512	10.074	10.423	10.615	10.919	11.131	11.454	12.091	12.776	13.166	13.439	13.858	14.14	14.693	15.712
86.8	-0.3521	12.1152	0.08096	9.532	10.096	10.445	10.637	10.941	11.154	11.477	12.115	12.802	13.192	13.466	13.886	14.168	14.722	15.742
86.9	-0.3521	12.1398	0.08093	9.552	10.117	10.467	10.659	10.964	11.177	11.501	12.14	12.828	13.219	13.493	13.913	14.196	14.751	15.773
87	-0.3521	12.1645	0.0809	9.573	10.138	10.489	10.681	10.987	11.2	11.524	12.165	12.854	13.245	13.52	13.941	14.224	14.78	15.803
87.1	-0.3521	12.1891	0.08087	9.593	10.159	10.511	10.703	11.009	11.223	11.548	12.189	12.879	13.272	13.546	13.968	14.252	14.808	15.834
87.2	-0.3521	12.2136	0.08084	9.613	10.18	10.532	10.725	11.032	11.246	11.571	12.214	12.905	13.298	13.573	13.995	14.279	14.837	15.864
87.3	-0.3521	12.2382	0.08082	9.633	10.201	10.554	10.747	11.054	11.268	11.595	12.238	12.931	13.324	13.6	14.023	14.308	14.866	15.895
87.4	-0.3521	12.2627	0.08079	9.653	10.222	10.575	10.769	11.077	11.291	11.618	12.263	12.956	13.351	13.627	14.051	14.335	14.895	15.925
87.5	-0.3521	12.2871	0.08076	9.673	10.243	10.597	10.791	11.099	11.314	11.642	12.287	12.982	13.377	13.653	14.078	14.363	14.923	15.955
87.6	-0.3521	12.3116	0.08074	9.693	10.264	10.619	10.813	11.122	11.337	11.665	12.312	13.008	13.403	13.68	14.105	14.391	14.952	15.986
87.7	-0.3521	12.336	0.08071	9.713	10.285	10.64	10.835	11.144	11.36	11.688	12.336	13.033	13.429	13.707	14.133	14.419	14.981	16.016
87.8	-0.3521	12.3603	0.08069	9.733	10.306	10.662	10.857	11.167	11.382	11.712	12.36	13.059	13.455	13.733	14.16	14.447	15.01	16.046
87.9	-0.3521	12.3846	0.08067	9.752	10.327	10.683	10.878	11.189	11.405	11.735	12.385	13.084	13.481	13.76	14.187	14.474	15.038	16.077
88	-0.3521	12.4089	0.08064	9.772	10.348	10.704	10.9	11.211	11.428	11.758	12.409	13.109	13.508	13.786	14.214	14.502	15.067	16.107
88.1	-0.3521	12.4332	0.08062	9.792	10.368	10.726	10.922	11.233	11.45	11.781	12.433	13.135	13.534	13.813	14.242	14.53	15.096	16.137
88.2	-0.3521	12.4574	0.0806	9.812	10.389	10.747	10.943	11.255	11.473	11.804	12.457	13.16	13.56	13.84	14.269	14.557	15.124	16.167
88.3	-0.3521	12.4815	0.08058	9.831	10.409	10.768	10.965	11.278	11.495	11.827	12.482	13.186	13.586	13.866	14.296	14.585	15.153	16.198
88.4	-0.3521	12.5057	0.08056	9.851	10.43	10.789	10.987	11.3	11.518	11.85	12.506	13.211	13.612	13.893	14.323	14.613	15.181	16.228
88.5	-0.3521	12.5298	0.08054	9.87	10.451	10.811	11.008	11.322	11.54	11.873	12.53	13.236	13.638	13.919	14.35	14.64	15.21	16.258
88.6	-0.3521	12.5538	0.08052	9.89	10.471	10.832	11.03	11.344	11.563	11.896	12.554	13.261	13.663	13.945	14.377	14.668	15.238	16.288
88.7	-0.3521	12.5778	0.0805	9.909	10.492	10.853	11.051	11.366	11.585	11.919	12.578	13.287	13.689	13.971	14.404	14.695	15.267	16.318
88.8	-0.3521	12.6017	0.08048	9.929	10.512	10.874	11.072	11.388	11.607	11.942	12.602	13.312	13.715	13.998	14.431	14.723	15.295	16.348
88.9	-0.3521	12.6257	0.08047	9.948	10.532	10.895	11.094	11.409	11.629	11.965	12.626	13.337	13.741	14.024	14.458	14.75	15.324	16.379
89	-0.3521	12.6495	0.08045	9.967	10.553	10.916	11.115	11.431	11.652	11.988	12.65	13.362	13.767	14.05	14.485	14.778	15.352	16.408
89.1	-0.3521	12.6734	0.08044	9.986	10.573	10.937	11.136	11.453	11.674	12.01	12.673	13.387	13.792	14.077	14.512	14.805	15.38	16.439
89.2	-0.3521	12.6972	0.08042	10.006	10.593	10.957	11.157	11.475	11.696	12.033	12.697	13.412	13.818	14.103	14.539	14.832	15.408	16.469
89.3	-0.3521	12.7209	0.08041	10.025	10.613	10.978	11.178	11.496	11.718	12.056	12.721	13.437	13.844	14.129	14.566	14.86	15.437	16.499
89.4	-0.3521	12.7446	0.08039	10.044	10.633	10.999	11.199	11.518	11.74	12.078	12.745	13.462	13.869	14.155	14.593	14.887	15.465	16.528
89.5	-0.3521	12.7683	0.08038	10.063	10.653	11.02	11.22	11.54	11.762	12.101	12.768	13.487	13.895	14.181	14.619	14.914	15.493	16.558
89.6	-0.3521	12.792	0.08037	10.082	10.673	11.04	11.241	11.561	11.784	12.123	12.792	13.512	13.921	14.207	14.646	14.942	15.522	16.589
89.7	-0.3521	12.8156	0.08035	10.101	10.693	11.061	11.263	11.583	11.806	12.146	12.816	13.536	13.946	14.233	14.673	14.969	15.549	16.618
89.8	-0.3521	12.8392	0.08034	10.12	10.713	11.082	11.283	11.604	11.828	12.168	12.839	13.561	13.971	14.259	14.7	14.996	15.578	16.648
89.9	-0.3521	12.8628	0.08033	10.139	10.733	11.102	11.304	11.626	11.849	12.191	12.863	13.586	13.997	14.285	14.726	15.023	15.606	16.678
90	-0.3521	12.8864	0.08032	10.158	10.753	11.123	11.325	11.647	11.871	12.213	12.886	13.611	14.023	14.311	14.753	15.05	15.634	16.708
90.1	-0.3521	12.9099	0.08031	10.176	10.773	11.143	11.346	11.669	11.893	12.235	12.91	13.636	14.048	14.337	14.78	15.078	15.662	16.738
90.2	-0.3521	12.9334	0.0803	10.195	10.793	11.164	11.367	11.69	11.915	12.258	12.933	13.66	14.073	14.363	14.806	15.105	15.69	16.768
90.3	-0.3521	12.9569	0.0803	10.214	10.813	11.184	11.388	11.711	11.936	12.28	12.957	13.685	14.099	14.389	14.833	15.132	15.719	16.799
90.4	-0.3521	12.9804	0.08029	10.233	10.832	11.204	11.408	11.733	11.958	12.302	12.98	13.71	14.124	14.415	14.86	15.159	15.747	16.828
90.5	-0.3521	13.0038	0.08028	10.251	10.852	11.225	11.429	11.754	11.98	12.325	13.004	13.735	14.15	14.44	14.887	15.186	15.775	16.858
90.6	-0.3521	13.0273	0.08027	10.27	10.872	11.245	11.45	11.775	12.002	12.347	13.027	13.759	14.175	14.466	14.913	15.213	15.803	16.888
90.7	-0.3521	13.0507	0.08027	10.289	10.892	11.266	11.471	11.796	12.023	12.369	13.051	13.784	14.201	14.492	14.94	15.241	15.831	16.918
90.8	-0.3521	13.0742	0.08026	10.307	10.911	11.286	11.491	11.818	12.045	12.392	13.074	13.809	14.226	14.518	14.967	15.268	15.86	16.948
90.9	-0.3521	13.0976	0.08026	10.326	10.931	11.306	11.512	11.839	12.067	12.414	13.098	13.833	14.251	14.544	14.993	15.295	15.888	16.979
91	-0.3521	13.1209	0.08025	10.344	10.951	11.327	11.533	11.86	12.088	12.436	13.121	13.858	14.277	14.57	15.02	15.322	15.916	17.008
91.1	-0.3521	13.1443	0.08025	10.363	10.97	11.347	11.553	11.881	12.11	12.458	13.144	13.883	14.302	14.596	15.047	15.349	15.944	17.039
91.2	-0.3521	13.1677	0.08025	10.381	10.99	11.367	11.574	11.902	12.131	12.48	13.168	13.907	14.328	14.622	15.073	15.377	15.973	17.069
91.3	-0.3521	13.191	0.08025	10.4	11.009	11.387	11.594	11.923	12.153	12.502	13.191	13.932	14.353	14.648	15.1	15.404	16.001	17.099
91.4	-0.3521	13.2143	0.08025	10.418	11.029	11.407	11.615	11.945	12.174	12.524	13.214	13.957	14.378	14.674	15.127	15.431	16.029	17.129
91.5	-0.3521	13.2376	0.08024	10.437	11.048	11.427	11.635	11.966	12.196	12.547	13.238	13.981	14.403	14.699	15.153	15.458	16.057	17.159
91.6	-0.3521	13.2609	0.08024	10.455	11.068	11.448	11.656	11.987	12.217	12.569	13.261	14.006	14.429	14.725	15.18	15.485	16.085	17.189
91.7	-0.3521	13.2842	0.08024	10.473	11.087	11.468	11.676	12.008	12.239	12.591	13.284	14.03	14.454	14.751	15.207	15.513	16.114	17.219
91.8	-0.3521	13.3075	0.08025	10.492	11.106	11.488	11.697	12.029	12.26	12.613	13.308	14.055	14.48	14.777	15.233	15.54	16.142	17.25
91.9	-0.3521	13.3308	0.08025	10.51	11.126	11.508	11.717	12.05	12.282	12.635	13.331	14.08	14.505	14.803	15.26	15.567	16.17	17.28
92	-0.3521	13.3541	0.08025	10.528	11.145	11.528	11.738	12.071	12.303	12.657	13.354	14.104	14.53	14.829	15.287	15.594	16.199	17.311
92.1	-0.3521	13.3773	0.08025	10.547	11.165	11.548	11.758	12.092	12.324	12.679	13.377	14.129	14.556	14.855	15.313	15.622	16.227	17.341
92.2	-0.3521	13.4006	0.08026	10.565	11.184	11.568	11.778	12.113	12.346	12.701	13.401	14.153	14.581	14.881	15.34	15.649	16.256	17.371
92.3	-0.3521	13.4239	0.08026	10.583	11.203	11.588	11.799	12.134	12.367	12.723	13.424	14.178	14.606	14.907	15.367	15.676	16.284	17.402
92.4	-0.3521	13.4472	0.08027	10.601	11.222	11.608	11.819	12.155	12.389	12.745	13.447	14.203	14.632	14.933	15.394	15.704	16.312	17.432
92.5	-0.3521	13.4705	0.08027	10.619	11.242	11.628	11.84	12.176	12.41	12.767	13.471	14.227	14.657	14.959	15.421	15.731	16.341	17.463
92.6	-0.3521	13.4937	0.08028	10.637	11.261	11.648	11.86	12.197	12.431	12.789	13.494	14.252	14.683	14.984	15.447	15.758	16.369	17.493
92.7	-0.3521	13.5171	0.08028	10.656	11.281	11.668	11.88	12.218	12.453	12.811	13.517	14.277	14.708	15.01	15.474	15.786	16.398	17.524
92.8	-0.3521	13.5404	0.08029	10.674	11.3	11.688	11.901	12.239	12.474	12.833	13.54	14.301	14.734	15.037	15.501	15.813	16.426	17.554
92.9	-0.3521	13.5637	0.0803	10.692	11.319	11.708	11.921	12.26	12.495	12.855	13.564	14.326	14.759	15.063	15.528	15.841	16.455	17.585
93	-0.3521	13.587	0.08031	10.71	11.338	11.728	11.941	12.281	12.517	12.877	13.587	14.351	14.785	15.089	15.555	15.868	16.484	17.616
93.1	-0.3521	13.6104	0.08032	10.728	11.357	11.748	11.962	12.302	12.538	12.899	13.61	14.376	14.81	15.115	15.582	15.896	16.512	17.647
93.2	-0.3521	13.6338	0.08033	10.746	11.377	11.768	11.982	12.323	12.56	12.921	13.634	14.4	14.836	15.141	15.609	15.924	16.541	17.678
93.3	-0.3521	13.6572	0.08034	10.765	11.396	11.788	12.002	12.343	12.581	12.943	13.657	14.425	14.862	15.167	15.636	15.951	16.57	17.709
93.4	-0.3521	13.6806	0.08035	10.783	11.415	11.808	12.023	12.364	12.603	12.966	13.681	14.45	14.887	15.193	15.663	15.979	16.599	17.74
93.5	-0.3521	13.7041	0.08036	10.801	11.435	11.828	12.043	12.386	12.624	12.988	13.704	14.475	14.913	15.22	15.69	16.007	16.628	17.771
93.6	-0.3521	13.7275	0.08037	10.819	11.454	11.848	12.064	12.407	12.645	13.01	13.728	14.5	14.939	15.246	15.717	16.034	16.657	17.802
93.7	-0.3521	13.751	0.08038	10.837	11.473	11.868	12.084	12.428	12.667	13.032	13.751	14.525	14.964	15.272	15.745	16.062	16.686	17.833
93.8	-0.3521	13.7746	0.0804	10.855	11.492	11.888	12.104	12.449	12.689	13.054	13.775	14.55	14.99	15.299	15.772	16.09	16.715	17.865
93.9	-0.3521	13.7981	0.08041	10.873	11.512	11.908	12.125	12.47	12.71	13.076	13.798	14.575	15.016	15.325	15.799	16.118	16.744	17.896
94	-0.3521	13.8217	0.08043	10.891	11.531	11.928	12.145	12.491	12.732	13.099	13.822	14.6	15.042	15.352	15.827	16.146	16.773	17.928
94.1	-0.3521	13.8454	0.08044	10.91	11.55	11.948	12.166	12.512	12.753	13.121	13.845	14.625	15.068	15.378	15.854	16.174	16.803	17.959
94.2	-0.3521	13.8691	0.08046	10.928	11.57	11.968	12.186	12.533	12.775	13.143	13.869	14.65	15.094	15.405	15.882	16.203	16.832	17.991
94.3	-0.3521	13.8928	0.08047	10.946	11.589	11.988	12.207	12.554	12.796	13.166	13.893	14.675	15.12	15.432	15.909	16.231	16.861	18.022
94.4	-0.3521	13.9165	0.08049	10.964	11.609	12.008	12.227	12.576	12.818	13.188	13.917	14.701	15.146	15.458	15.937	16.259	16.891	18.054
94.5	-0.3521	13.9403	0.08051	10.982	11.628	12.028	12.248	12.597	12.84	13.21	13.94	14.726	15.172	15.485	15.965	16.287	16.921	18.086
94.6	-0.3521	13.9642	0.08052	11.001	11.648	12.049	12.269	12.618	12.862	13.233	13.964	14.751	15.199	15.512	15.993	16.316	16.95	18.118
94.7	-0.3521	13.9881	0.08054	11.019	11.667	12.069	12.289	12.639	12.883	13.255	13.988	14.777	15.225	15.539	16.021	16.344	16.98	18.15
94.8	-0.3521	14.012	0.08056	11.037	11.686	12.089	12.31	12.661	12.905	13.278	14.012	14.802	15.251	15.566	16.048	16.373	17.01	18.182
94.9	-0.3521	14.036	0.08058	11.056	11.706	12.109	12.331	12.682	12.927	13.3	14.036	14.828	15.278	15.593	16.077	16.402	17.04	18.215
95	-0.3521	14.06	0.0806	11.074	11.725	12.13	12.351	12.703	12.949	13.323	14.06	14.853	15.304	15.62	16.105	16.43	17.07	18.247
95.1	-0.3521	14.0841	0.08062	11.092	11.745	12.15	12.372	12.725	12.971	13.346	14.084	14.879	15.331	15.647	16.133	16.459	17.1	18.28
95.2	-0.3521	14.1083	0.08064	11.111	11.765	12.17	12.393	12.746	12.993	13.368	14.108	14.905	15.357	15.674	16.161	16.488	17.13	18.312
95.3	-0.3521	14.1325	0.08067	11.129	11.784	12.191	12.414	12.768	13.015	13.391	14.133	14.931	15.384	15.702	16.19	16.517	17.161	18.346
95.4	-0.3521	14.1567	0.08069	11.147	11.804	12.211	12.434	12.789	13.037	13.414	14.157	14.956	15.411	15.729	16.218	16.546	17.191	18.378
95.5	-0.3521	14.1811	0.08071	11.166	11.824	12.232	12.456	12.811	13.059	13.437	14.181	14.982	15.438	15.757	16.246	16.575	17.222	18.411
95.6	-0.3521	14.2055	0.08073	11.184	11.843	12.252	12.477	12.833	13.081	13.46	14.206	15.008	15.465	15.784	16.275	16.605	17.252	18.444
95.7	-0.3521	14.2299	0.08076	11.203	11.863	12.273	12.497	12.854	13.103	13.482	14.23	15.034	15.492	15.812	16.304	16.634	17.283	18.478
95.8	-0.3521	14.2544	0.08078	11.221	11.883	12.293	12.519	12.876	13.125	13.505	14.254	15.061	15.519	15.84	16.332	16.663	17.314	18.511
95.9	-0.3521	14.279	0.08081	11.24	11.903	12.314	12.54	12.898	13.148	13.529	14.279	15.087	15.546	15.868	16.361	16.693	17.345	18.545
96	-0.3521	14.3037	0.08083	11.258	11.923	12.335	12.561	12.92	13.17	13.552	14.304	15.113	15.573	15.896	16.39	16.723	17.376	18.578
96.1	-0.3521	14.3284	0.08086	11.277	11.942	12.355	12.582	12.942	13.193	13.575	14.328	15.14	15.601	15.924	16.419	16.753	17.407	18.612
96.2	-0.3521	14.3533	0.08089	11.296	11.962	12.376	12.603	12.964	13.215	13.598	14.353	15.166	15.628	15.952	16.449	16.783	17.439	18.646
96.3	-0.3521	14.3782	0.08092	11.314	11.982	12.397	12.624	12.986	13.238	13.622	14.378	15.193	15.656	15.98	16.478	16.813	17.47	18.68
96.4	-0.3521	14.4031	0.08094	11.333	12.003	12.418	12.646	13.008	13.26	13.645	14.403	15.219	15.683	16.008	16.507	16.843	17.501	18.714
96.5	-0.3521	14.4282	0.08097	11.352	12.023	12.439	12.667	13.03	13.283	13.668	14.428	15.246	15.711	16.037	16.537	16.873	17.533	18.749
96.6	-0.3521	14.4533	0.081	11.371	12.043	12.46	12.689	13.052	13.306	13.692	14.453	15.273	15.739	16.065	16.566	16.903	17.565	18.783
96.7	-0.3521	14.4785	0.08103	11.39	12.063	12.481	12.71	13.075	13.328	13.716	14.479	15.3	15.767	16.094	16.596	16.934	17.597	18.818
96.8	-0.3521	14.5038	0.08106	11.408	12.083	12.502	12.732	13.097	13.351	13.739	14.504	15.327	15.795	16.123	16.626	16.964	17.629	18.853
96.9	-0.3521	14.5292	0.08109	11.427	12.104	12.523	12.754	13.119	13.374	13.763	14.529	15.354	15.823	16.152	16.656	16.995	17.661	18.887
97	-0.3521	14.5547	0.08112	11.447	12.124	12.545	12.775	13.142	13.397	13.787	14.555	15.381	15.851	16.181	16.686	17.026	17.693	18.923
97.1	-0.3521	14.5802	0.08116	11.465	12.144	12.566	12.797	13.164	13.42	13.811	14.58	15.409	15.88	16.21	16.717	17.057	17.726	18.958
97.2	-0.3521	14.6058	0.08119	11.484	12.165	12.587	12.819	13.187	13.443	13.835	14.606	15.436	15.908	16.239	16.747	17.088	17.759	18.993
97.3	-0.3521	14.6316	0.08122	11.504	12.186	12.609	12.841	13.21	13.467	13.859	14.632	15.464	15.937	16.268	16.777	17.119	17.791	19.029
97.4	-0.3521	14.6574	0.08125	11.523	12.206	12.63	12.863	13.233	13.49	13.883	14.657	15.491	15.965	16.298	16.808	17.15	17.824	19.064
97.5	-0.3521	14.6832	0.08129	11.542	12.227	12.652	12.885	13.255	13.513	13.907	14.683	15.519	15.994	16.327	16.838	17.182	17.857	19.101
97.6	-0.3521	14.7092	0.08132	11.561	12.248	12.673	12.907	13.278	13.537	13.931	14.709	15.547	16.023	16.357	16.869	17.213	17.89	19.136
97.7	-0.3521	14.7353	0.08136	11.581	12.268	12.695	12.929	13.301	13.56	13.956	14.735	15.575	16.052	16.387	16.9	17.245	17.924	19.173
97.8	-0.3521	14.7614	0.08139	11.6	12.289	12.717	12.951	13.324	13.584	13.98	14.761	15.603	16.081	16.416	16.931	17.277	17.957	19.209
97.9	-0.3521	14.7877	0.08143	11.62	12.31	12.739	12.974	13.347	13.608	14.005	14.788	15.631	16.111	16.447	16.962	17.309	17.99	19.246
98	-0.3521	14.814	0.08146	11.639	12.331	12.76	12.996	13.37	13.631	14.029	14.814	15.659	16.14	16.476	16.993	17.341	18.024	19.282
98.1	-0.3521	14.8404	0.0815	11.659	12.352	12.782	13.018	13.394	13.655	14.054	14.84	15.687	16.169	16.507	17.025	17.373	18.058	19.319
98.2	-0.3521	14.8669	0.08154	11.678	12.373	12.804	13.041	13.417	13.679	14.079	14.867	15.716	16.199	16.537	17.056	17.406	18.092	19.356
98.3	-0.3521	14.8934	0.08157	11.698	12.394	12.826	13.063	13.44	13.703	14.104	14.893	15.744	16.228	16.567	17.088	17.438	18.125	19.392
98.4	-0.3521	14.9201	0.08161	11.718	12.415	12.848	13.086	13.464	13.727	14.128	14.92	15.773	16.258	16.598	17.12	17.47	18.16	19.43
98.5	-0.3521	14.9468	0.08165	11.737	12.436	12.871	13.109	13.487	13.751	14.153	14.947	15.802	16.288	16.628	17.151	17.503	18.194	19.467
98.6	-0.3521	14.9736	0.08169	11.757	12.458	12.893	13.131	13.511	13.775	14.178	14.974	15.83	16.318	16.659	17.183	17.536	18.228	19.505
98.7	-0.3521	15.0005	0.08173	11.777	12.479	12.915	13.154	13.534	13.799	14.203	15.001	15.859	16.348	16.69	17.215	17.569	18.263	19.543
98.8	-0.3521	15.0275	0.08177	11.797	12.5	12.937	13.177	13.558	13.824	14.229	15.028	15.888	16.378	16.721	17.248	17.602	18.298	19.58
98.9	-0.3521	15.0546	0.08181	11.817	12.522	12.96	13.2	13.582	13.848	14.254	15.055	15.917	16.408	16.752	17.28	17.635	18.333	19.618
99	-0.3521	15.0818	0.08185	11.837	12.543	12.982	13.223	13.606	13.872	14.279	15.082	15.946	16.438	16.783	17.312	17.668	18.368	19.656
99.1	-0.3521	15.109	0.08189	11.857	12.565	13.005	13.246	13.63	13.897	14.305	15.109	15.976	16.469	16.814	17.345	17.701	18.402	19.695
99.2	-0.3521	15.1363	0.08194	11.876	12.586	13.027	13.269	13.653	13.921	14.33	15.136	16.005	16.499	16.846	17.378	17.735	18.438	19.733
99.3	-0.3521	15.1637	0.08198	11.896	12.608	13.05	13.292	13.677	13.946	14.356	15.164	16.035	16.53	16.877	17.41	17.769	18.473	19.772
99.4	-0.3521	15.1912	0.08202	11.917	12.63	13.072	13.315	13.701	13.971	14.381	15.191	16.064	16.561	16.909	17.443	17.802	18.509	19.81
99.5	-0.3521	15.2187	0.08206	11.937	12.651	13.095	13.339	13.726	13.995	14.407	15.219	16.094	16.591	16.94	17.476	17.836	18.544	19.849
99.6	-0.3521	15.2463	0.08211	11.957	12.673	13.118	13.362	13.75	14.02	14.433	15.246	16.123	16.622	16.972	17.509	17.87	18.58	19.888
99.7	-0.3521	15.274	0.08215	11.977	12.695	13.141	13.385	13.774	14.045	14.458	15.274	16.153	16.653	17.004	17.542	17.904	18.616	19.927
