BANNER,LOINC #,Long Common Name,CLASS,Class Override,Rank,Example UCUM,Example UCUM Display,Comments,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,System Adjusted,GROUP,
,12841-3,Prostate Specific Ag Free/Prostate specific Ag.total in Serum or Plasma,Chem,Chem,532,%,%,,Prostate specific Ag.free/Prostate specific Ag.total,MFr,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,PSA,
,20420-6,Prostatic acid phosphatase [Mass/volume] in Serum,Chem,Chem,1931,ng/mL,ng/mL,,Acid phosphatase.prostatic,MCnc,Pt,Ser,Qn,,Bld*/Ser/Plas,,
,2885-2,Protein [Mass/volume] in Serum or Plasma,Chem,Chem,22,g/dL,g/dL,,Protein,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,,
,2892-8,Protoporphyrin Free [Mass/volume] in Blood,Chem,Chem,1751,ug/dL,ug/dL,,Protoporphyrin.free,MCnc,Pt,Bld,Qn,,Bld*/Ser/Plas,,
,2900-9,Pyridoxine (Vitamin B6) [Mass/volume] in Serum or Plasma,Chem,Chem,1205,ng/mL,ng/mL,Vitamin B6,Pyridoxine,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,,
,14121-8,Pyruvate [Moles/volume] in Blood,Chem,Chem,1838,mmol/L,mmol/L,,Pyruvate,SCnc,Pt,Bld,Qn,,Bld*/Ser/Plas,,
,2915-7,Renin [Enzymatic activity/volume] in Plasma,Chem,Chem,822,ng/mL/h,ng/mL/h,,Renin,CCnc,Pt,Plas,Qn,,Bld*/Ser/Plas,,
,2923-1,Retinol [Mass/volume] in Serum or Plasma,Chem,Chem,942,ug/mL,ug/mL,,Retinol,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,,
,38496-6,Retinyl palmitate [Mass/volume] in Serum or Plasma,Chem,Chem,1524,ug/mL,ug/mL,,Retinyl palmitate,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,,
,20656-5,Serine [Moles/volume] in Serum or Plasma,Chem,Chem,1886,umol/L,umol/L,,Serine,SCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,AA,
,13967-5,Sex hormone binding globulin [Moles/volume] in Serum or Plasma,Chem,Chem,681,nmol/L,nmol/L,Used as denominator in calculation of free androgen index [LOINC: 24125-7],Sex hormone binding globulin,SCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,,
,2947-0,Sodium [Moles/volume] in Blood,Chem,Chem,129,mmol/L,mmol/L,,Sodium,SCnc,Pt,Bld,Qn,,Bld*/Ser/Plas,,
,2951-2,Sodium [Moles/volume] in Serum or Plasma,Chem,Chem,5,mmol/L,mmol/L,,Sodium,SCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,,
,2963-7,Somatotropin [Mass/volume] in Serum or Plasma,Chem,Chem,990,ng/mL,ng/mL,Most US referral labs report as ng/mL (this test) not IU/mL.,Somatotropin,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,,
,20657-3,Taurine [Moles/volume] in Serum or Plasma,Chem,Chem,1888,umol/L,umol/L,,Taurine,SCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,AA,
"Testosterone
Testosterone also comes in routine and high sensitivity versions, which can detect levels <= 1.0 ng/dL or <=3.47 pmol/L for the equivalent molar concentration. The routine testosterone is used for most testing purposes. The high sensitivity test is only appropriate for people whose testosterone levels would normally expected to be very low, such as women and men post-orchiectomy. To find abnormal lows in such cases, the test must be super sensitive. Tests are also available for measuring bioavailable testosterone and various ratios of these to the total testosterone but are rare compared to plain testosterone. Be aware of these distinctions when mapping.",,,,,,,,,,,,,,,,,
,2986-8,Testosterone [Mass/volume] in Serum or Plasma,Chem,Chem,203,ng/dL,ng/dL,,Testosterone,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,Testosterone,
,49041-7,Testosterone [Mass/volume] in Serum or Plasma by Detection limit = 1.0 ng/dL,Chem,Chem,1740,ng/dL,ng/dL,,Testosterone,MCnc,Pt,Ser/Plas,Qn,Detection limit = 1.0 ng/dL,Bld*/Ser/Plas,Testosterone,
,2991-8,Testosterone Free [Mass/volume] in Serum or Plasma,Chem,Chem,325,pg/mL,pg/mL,,Testosterone.free,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,Testosterone,
,49042-5,Testosterone Free [Mass/volume] in Serum or Plasma by Detection limit = 1.0 ng/dL,Chem,Chem,1753,pg/mL,pg/mL,,Testosterone.free,MCnc,Pt,Ser/Plas,Qn,Detection limit = 1.0 ng/dL,Bld*/Ser/Plas,Testosterone,
,25987-9,Testosterone Free [Moles/volume] in Serum or Plasma by Radioimmunoassay (RIA),Chem,Chem,1710,mmol/L,mmol/L,,Testosterone.free,SCnc,Pt,Ser/Plas,Qn,RIA,Bld*/Ser/Plas,Testosterone,
,15432-8,Testosterone Free/Testosterone.total in Serum or Plasma,Chem,Chem,707,%,%,,Testosterone.free/Testosterone.total,MFr,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,Testosterone,
,6891-6,Testosterone.bioavailable/Testosterone.total in Serum or Plasma,Chem,Chem,1224,%,%,,Testosterone.bioavailable/Testosterone.total,MFr,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,Testosterone,
"Thiamine
Thiamine can be measured in serum and in whole blood. LOINC has codes for both of these. Most of the thiamine in circulation is actually contained within the red cells. So whole blood thiamine does not correct rapidly with eating; serum thiamine does. But serum thiamine is much less expensive and therefore it is the more commonly ordered test. Serum thiamine will rarely include the word �serum� in its name. It will be named �thiamine.� The whole blood cell thiamine, on the other hand, will usually include whole blood in its name. It is usually reported as RBC.",,,,,,,,,,,,,,,,,
,2998-3,Thiamine [Mass/volume] in Blood,Chem,Chem,1265,ug/dL,ug/dL,,Thiamine,MCnc,Pt,Bld,Qn,,Bld*/Ser/Plas,Thiamine,
,2999-1,Thiamine [Mass/volume] in Serum or Plasma,Chem,Chem,1439,ug/dL,ug/dL,,Thiamine,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,Thiamine,
,32554-8,Thiamine [Moles/volume] in Blood,Chem,Chem,1306,nmol/L,nmol/L,,Thiamine,SCnc,Pt,Bld,Qn,,Bld*/Ser/Plas,Thiamine,
,20468-5,Thiamine [Moles/volume] in Serum or Plasma,Chem,Chem,1550,nmol/L,nmol/L,,Thiamine,SCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,Thiamine,
,20658-1,Threonine [Moles/volume] in Serum or Plasma,Chem,Chem,1887,umol/L,umol/L,,Threonine,SCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,AA,
,3013-0,Thyroglobulin [Mass/volume] in Serum or Plasma,Chem,Chem,610,ng/dL,ng/dL,,Thyroglobulin,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,,
,38505-4,Thyroglobulin recovery in Serum or Plasma,Chem,Chem,1150,%,%,"This is a 2nd phase test after measuring thyroglobulin binding antibodies, which if high triggers this test to see how much TG can be recovered. Only important in rare cases related to thyroid cancer.",Thyroglobulin recovery,MFr,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,,
,30166-3,Thyroid stimulating immunoglobulins actual/normal in Serum,Chem,Chem,1099,%{basalactivity},%basalactivity,,Thyroid stimulating immunoglobulins actual/Normal,RelMCnc,Pt,Ser,Qn,,Bld*/Ser/Plas,,
"Thyrotropin
TSH has three codes in LOINC which differ by their detection limits.

     1) First generation.  [LOINC: 3016-3] Thyrotropin [Units/volume] in Serum or Plasma

The so-called first-generation TSH test was of low sensitivity, such that it was not useful for diagnosing or following hyperthyroidism. It is no longer commercially available. LOINC has a code with no specified detection limit that has existed since the first release of LOINC (in 1994). Today you should avoid mapping to it except when you are mapping old TSH tests whose sensitivity cannot be ascertained.

     2) Second generation. [LOINC: 11579-0] Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.05 mIU/L

The so-called 2nd generation TSH has a detection limit of <= .05 mIU/L and is now the routine TSH test in most settings (though since the Top 2000 was originally published, the third-generation assay has also come into routine use). It has the advantage over earlier tests in that it can detect both hyperthyroidism (reflected by an abnormally low TSH) and hypothyroidism, reflected by an abnormally high TSH.

     3) Third generation. [LOINC: 11580-8] Thyrotropin [Units/volume] in Serum or Plasma by high sensitivity Detection limit <= 0.005 mIU/L

A third-generation TSH with a detection limit of <= .005 mIU/L also exists. Labs usually add high sensitivity or ultra-sensitive or 3rd generation to its name. It only offers advantage over the 2nd generation test in special cases. Because of its limited measurement range at the high end, it can require more work (extra dilution steps) to quantify value of very high TSH levels, but it is widely available.

LOINC includes codes for TSH tests that are reported in mass concentrations and molar concentrations. However, all current TSH test results are reported as mIU/L (or equivalent). Except in very special circumstances, the only TSH variables to which you should map are [LOINC: 11579-0] and [LOINC: 11580-8].",,,,,,,,,,,,,,,,,
,3016-3,Thyrotropin [Units/volume] in Serum or Plasma,Chem,Chem,105,m[IU]/L,mIU/L,,Thyrotropin,ACnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,TSH,
,11580-8,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L,Chem,Chem,165,m[IU]/L,mIU/L,,Thyrotropin,ACnc,Pt,Ser/Plas,Qn,Detection limit <= 0.005 mIU/L,Bld*/Ser/Plas,TSH,
,11579-0,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.05 mIU/L,Chem,Chem,75,m[IU]/L,mIU/L,,Thyrotropin,ACnc,Pt,Ser/Plas,Qn,Detection limit <= 0.05 mIU/L,Bld*/Ser/Plas,TSH,
,3026-2,Thyroxine (T4) [Mass/volume] in Serum or Plasma,Chem,Chem,145,ug/dL,ug/dL,,Thyroxine,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,T4,
"T4 Free
Free Thyroxine (T4), the amount of T4 that is not bound to protein, has two types of LOINC codes. One type of code includes no method specificity and is the kind you should use in most cases. See [LOINC: 3024-7] for mass/volume and [LOINC: 14920-3] for moles/volume. The other type of code has the method of �by dialysis�. See [LOINC: 6892-4] for mass/volume or [LOINC: 70217-5] for moles/volume. This approach is more expensive and used only in special circumstances, such as when interfering proteins prevent the accurate measure of free T4 by the routine method.

Thyroxine free index [LOINC: 32215-6] is the ratio of free T4 to total T4 and is often included along with reports of free and total T4.
",,,,,,,,,,,,,,,,,
,3024-7,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,Chem,Chem,133,ng/dL,ng/dL,,Thyroxine.free,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,T4 free,
,6892-4,Thyroxine (T4) free [Mass/volume] in Serum or Plasma by Dialysis,Chem,Chem,1494,ng/dL,ng/dL,,Thyroxine.free,MCnc,Pt,Ser/Plas,Qn,Dialysis,Bld*/Ser/Plas,T4 free,
,32215-6,Thyroxine (T4) free index in Serum or Plasma,Chem,Chem,222,ng/dL,ng/dL,Equals the product of T4 X T3RU,Thyroxine free index,ACnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,T4 free,
,3034-6,Transferrin [Mass/volume] in Serum or Plasma,Chem,Chem,809,mg/dL,mg/dL,,Transferrin,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,,
,3043-7,Triglyceride [Mass/volume] in Blood,Chem,Chem,1592,mg/dL,mg/dL,This is the POC test; triglyceride is more often measured in serum [LOINC: 2571-8].,Triglyceride,MCnc,Pt,Bld,Qn,,Bld*/Ser/Plas,,
,2571-8,Triglyceride [Mass/volume] in Serum or Plasma,Chem,Chem,36,mg/dL,mg/dL,,Triglyceride,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,,
,3053-6,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,Chem,Chem,223,ng/dL,ng/dL,,Triiodothyronine,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,T3,
,3051-0,Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma,Chem,Chem,274,pg/mL,pg/mL,,Triiodothyronine.free,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,T3 free,
,3052-8,Triiodothyronine (T3).reverse [Mass/volume] in Serum or Plasma,Chem,Chem,1057,pg/mL,pg/mL,This test has never proven to be useful for the sick euthyroid syndrome.  It is only useful for a very very rare metabolic defect and has fallen out of favor.,Triiodothyronine.reverse,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,T3 Reverse,
,3050-2,Triiodothyronine resin uptake (T3RU) in Serum or Plasma,Chem,Chem,200,%,%,"The only purpose of the T3RU is to calcluate the thyroxine free index [LOINC: 32215-6], which has fallen out of favor because the Free T4 provides the information that is really needed and is more accurate and less expensive than the T3RU.",Triiodothyronine resin uptake,NFr,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,CT3 RU,
,10839-9,Troponin I.cardiac [Mass/volume] in Serum or Plasma,Chem,Chem,113,ng/mL,ng/mL,,Troponin I.cardiac,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,Troponin I,
,49563-0,Troponin I.cardiac [Mass/volume] in Serum or Plasma by Detection limit = 0.01 ng/mL,Chem,Chem,449,ng/mL,ng/mL,,Troponin I.cardiac,MCnc,Pt,Ser/Plas,Qn,Detection limit = 0.01 ng/mL,Bld*/Ser/Plas,Troponin I,
,6598-7,Troponin T.cardiac [Mass/volume] in Serum or Plasma,Chem,Chem,291,ug/L,ug/L,,Troponin T.cardiac,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,Troponin T,
,21582-2,Tryptase [Mass/volume] in Serum or Plasma,Chem,Chem,1562,ng/mL,ng/mL,,Tryptase,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,,
,20660-7,Tyrosine [Moles/volume] in Serum or Plasma,Chem,Chem,1868,umol/L,umol/L,,Tyrosine,SCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,AA,
,27923-2,Ubiquinone 10 [Mass/volume] in Serum or Plasma,Chem,Chem,1181,ug/mL,ug/mL,,Ubiquinone 10,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,,
,3084-1,Urate [Mass/volume] in Serum or Plasma,Chem,Chem,142,mg/dL,mg/dL,,Urate,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,,
,6299-2,Urea nitrogen [Mass/volume] in Blood,Chem,Chem,288,mg/dL,mg/dL,(Usually called BUN) - This is the POC test,Urea nitrogen,MCnc,Pt,Bld,Qn,,Bld*/Ser/Plas,,
,3094-0,Urea nitrogen [Mass/volume] in Serum or Plasma,Chem,Chem,6,mg/dL,mg/dL,Usually called BUN,Urea nitrogen,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,,
,11064-3,Urea nitrogen [Mass/volume] in Serum or Plasma --post dialysis,Chem,Chem,921,mg/dL,mg/dL,Usually called BUN,Urea nitrogen^post dialysis,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,,
,11065-0,Urea nitrogen [Mass/volume] in Serum or Plasma --pre dialysis,Chem,Chem,931,mg/dL,mg/dL,Usually called BUN,Urea nitrogen^pre dialysis,MCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,,
,3097-3,Urea nitrogen/Creatinine [Mass ratio] in Serum or Plasma,Chem,Chem,55,{ratio},ratio,,Urea nitrogen/Creatinine,MCrto,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,,
,20661-5,Valine [Moles/volume] in Serum or Plasma,Chem,Chem,1834,umol/L,umol/L,,Valine,SCnc,Pt,Ser/Plas,Qn,,Bld*/Ser/Plas,,
,1747-5,Albumin [Mass/volume] in Body fluid,Chem,Chem,1032,g/dL,g/dL,,Albumin,MCnc,Pt,Body fld,Qn,,Body fld,,
,1795-4,Amylase [Enzymatic activity/volume] in Body fluid,Chem,Chem,771,U/L,U/L,,Amylase,CCnc,Pt,Body fld,Qn,,Body fld,,
,1974-5,Bilirubin [Mass/volume] in Body fluid,Chem,Chem,1909,mg/dL,mg/dL,,Bilirubin,MCnc,Pt,Body fld,Qn,,Body fld,Bilirubin Total,
,12190-5,Creatinine [Mass/volume] in Body fluid,Chem,Chem,1234,mg/dL,mg/dL,,Creatinine,MCnc,Pt,Body fld,Qn,,Body fld,,
,2344-0,Glucose [Mass/volume] in Body fluid,Chem,Chem,788,mg/dL,mg/dL,,Glucose,MCnc,Pt,Body fld,Qn,,Body fld,,
,2529-6,Lactate dehydrogenase [Enzymatic activity/volume] in Body fluid,Chem,Chem,807,U/L,U/L,,Lactate dehydrogenase,CCnc,Pt,Body fld,Qn,,Body fld,,
,15212-4,Lipase [Enzymatic activity/volume] in Body fluid,Chem,Chem,1322,U/dL,U/dL,,Triacylglycerol lipase,CCnc,Pt,Body fld,Qn,,Body fld,Lipase,
,2748-2,pH of Body fluid,Chem,Chem,953,[pH],pH,,pH,LsCnc,Pt,Body fld,Qn,,Body fld,,
,2881-1,Protein [Mass/volume] in Body fluid,Chem,Chem,704,g/dL,g/dL,,Protein,MCnc,Pt,Body fld,Qn,,Body fld,,
,3093-2,Urea nitrogen [Mass/volume] in Body fluid,Chem,Chem,1652,mg/dL,mg/dL,,Urea nitrogen,MCnc,Pt,Body fld,Qn,,Body fld,,
,1746-7,Albumin [Mass/volume] in Cerebral spinal fluid,Chem,Chem,1589,mg/dL,mg/dL,,Albumin,MCnc,Pt,CSF,Qn,,CSF,,
,2873-8,Gamma globulin [Mass/volume] in Cerebral spinal fluid by Electrophoresis,Chem,Chem,1243,mg/dL,mg/dL,,Gamma globulin,MCnc,Pt,CSF,Qn,Electrophoresis,CSF,Protein Fx CSF,
,2342-4,Glucose [Mass/volume] in Cerebral spinal fluid,Chem,Chem,550,mg/dL,mg/dL,,Glucose,MCnc,Pt,CSF,Qn,,CSF,,
,2464-6,IgG [Mass/volume] in Cerebral spinal fluid,Chem,Chem,1535,mg/dL,mg/dL,,IgG,MCnc,Pt,CSF,Qn,,CSF,,
,2638-5,Myelin basic protein [Mass/volume] in Cerebral spinal fluid,Chem,Chem,1828,ng/mL,ng/mL,,Myelin basic protein,MCnc,Pt,CSF,Qn,,CSF,,
,2880-3,Protein [Mass/volume] in Cerebral spinal fluid,Chem,Chem,534,mg/dL,mg/dL,,Protein,MCnc,Pt,CSF,Qn,,CSF,,
,49295-9,Protein Fractions [interpretation] in Cerebral spinal fluid by Electrophoresis Narrative,Chem,Chem,1694,,,,Protein pattern,Imp,Pt,CSF,Nar,Electrophoresis,CSF,Protein Fx CSF,
,12782-9,Protein fractions.oligoclonal bands [interpretation] in Cerebral spinal fluid by Electrophoresis,Chem,Chem,1492,,,,Protein fractions.oligoclonal bands,Imp,Pt,CSF,Nom,Electrophoresis,CSF,Protein Fx CSF,
,13451-0,Creatinine dialysis fluid clearance,Chem,Chem,398,mL/min,mL/min,,Creatinine dialysis fluid clearance,VRat,Pt,Dial fld+Ser/Plas,Qn,,Dial fld+Ser/Plas,,
,2334-1,Hemoglobin.gastrointestinal [Presence] in Gastric fluid    *NOTE: from occult blood,Chem,Chem,1920,,,Occult Blood in gastric fluid,Hemoglobin.gastrointestinal,ACnc,Pt,Gast fld,Ord,,Gast fld,,
,2749-0,pH of Gastric fluid,Chem,Chem,1807,[pH],pH,,pH,LsCnc,Pt,Gast fld,Qn,,Gast fld,,
,2283-0,Folate [Mass/volume] in Red Blood Cells,Chem,Chem,743,ng/mL,ng/mL,Serum folate MCnc [LOINC: 2284-8] or SCnc [LOINC: 14732-2] is the more common measure because it is less expensive than RBC folate.,Folate,MCnc,Pt,RBC,Qn,,RBC,Folate,
,32546-4,Glucose-6-Phosphate dehydrogenase [Enzymatic activity/mass] in Red Blood Cells,Chem,Chem,1576,U/g{Hb},U/gHb,,Glucose-6-Phosphate dehydrogenase,CCnt,Pt,RBC,Qn,,RBC,G-6PD,
,2357-2,Glucose-6-Phosphate dehydrogenase [Enzymatic activity/volume] in Red Blood Cells,Chem,Chem,1203,U/g{Hb},U/gHb,,Glucose-6-Phosphate dehydrogenase,CCnc,Pt,RBC,Qn,,RBC,G-6PD,
,2597-3,Magnesium [Moles/volume] in Red Blood Cells,Chem,Chem,1697,mmol/L,mmol/L,,Magnesium,SCnc,Pt,RBC,Qn,,RBC,,
,2895-1,Protoporphyrin.zinc [Mass/volume] in Red Blood Cells,Chem,Chem,1704,ug/dL,ug/dL,,Protoporphyrin.zinc,MCnc,Pt,RBC,Qn,,RBC,,
,2142-8,Cortisol [Mass/volume] in Saliva,Chem,Chem,1926,ug/dL,ug/dL,,Cortisol,MCnc,Pt,Saliva,Qn,,Saliva,,
,14117-6,IgG index in Serum & CSF,Chem,Chem,1822,{ratio},ratio,,IgG index,RelRto,Pt,Ser+CSF,Qn,,Ser+CSF,,
,14116-8,IgG synthesis rate [Mass/time] in Serum & CSF by calculation,Chem,Chem,1773,mg/(24.hr),mg/24hr,,IgG synthesis rate,MRat,Pt,Ser+CSF,Qn,Calculated,Ser+CSF,,
,2270-7,Fat [Presence] in Stool,Chem,Chem,1145,,,,Fat,ACnc,Pt,Stool,Ord,,Stool,Fat stool,
,12598-9,Fat.neutral [Presence] in Stool,Chem,Chem,1633,,,,Fat.neutral,ACnc,Pt,Stool,Ord,,Stool,Fat stool,
,2605-4,Meat fibers [Presence] in Stool by Light microscopy,Chem,Chem,1315,,,,Meat fibers,ACnc,Pt,Stool,Ord,Microscopy.light,Stool,,
,11060-1,Reducing substances [Presence] in Stool,Chem,Chem,1800,,,,Reducing substances,ACnc,Pt,Stool,Ord,,Stool,,
,2077-6,Chloride [Moles/volume] in Sweat,Chem,Chem,1168,mmol/L,mmol/L,,Chloride,SCnc,Pt,Sweat,Qn,,Sweat,,
"Timed Urine Test
There are three variations on how analytes are reported in urine:

1) The spot urine or random urine measures.
In LOINC, these are described as the �point in time� urine. The LOINC codes for those will have 'Pt' (for point in time) in the timing specification and a concentration (e.g., MCnc, SCnc or CCnc) as its property. The same analytes can be analyzed in a timed urine (usually 24-hour collection). In this case, the laboratory will report:

2) The concentration on a portion of what is collected.

3) The excretion rate over 24 hours.
The excretion rate is obtained by multiplying the measured concentration by the volume of the 24-hour collection. Therefore, on the 24-hour urine you will usually see a concentration and a rate of excretion. Most laboratories report units of mg or molar per 24 hours or per day. A few labs report the daily excretion in mg or molar per total volume because one can never be sure the collection is a complete 24 hour collection. However, the normal ranges reported in these cases are almost always 24 hour normal. So we recommend mapping these per/total volume specimens as though they are 24 hour collections.

Altogether there are three different possible LOINC codes for a given urine analyte:

     1)  Analyte:MCnc or SCnc:Pt:Urine:Qn
     2)  Analyte:MCnc or SCnc:24H:Urine:Qn
     3)  Analyte:MRat or SRat:24H:Urine:Qn

Some laboratories use the same internal code to identify the concentration of a random urine and the concentration of a 24-hour urine. Laboratories may also report the ratio of an analyte to creatinine in the urine, using the creatinine to correct for incomplete timed urine collections. A measure of analyte/creatinine can be done on spot (random) urines and on 24 hour timed collections of urine. In some cases the time of the collection is deliberately not specified in the test name, but is given somewhere else with alternative times like 2 hours or 4 hours. Some such specific durations are available in LOINC, but they are not very commonly ordered, so you don�t see them in the Top 2000+.

Take special care when mapping ratios of some analyte to creatinine. In the US, they will usually be reported as mass units/mass creatinine. But units of mg/mmol are described in Wikipedia.The most important point is that if the units are mass/mass or substance/substance, the LOINC term to which it maps should have a property of MCrto (mass concentration ratio) or SCrto (substance concentration ratio), respectively. If the units are mixed (e.g. mmol/s or mg/mmol), the property should be Ratio.",,,,,,,,,,,,,,,,,
,1695-6,5-Hydroxyindoleacetate [Mass/time] in 24 hour Urine,Chem,Chem,1449,mg/(24.h),mg/24h,,5-Hydroxyindoleacetate,MRat,24H,Urine,Qn,,Urine,,
,1978-6,Bilirubin [Mass/volume] in Urine,Chem,Chem,171,mg/dL,mg/dL,,Bilirubin,MCnc,Pt,Urine,Qn,,Urine,,
,1977-8,Bilirubin [Presence] in Urine,Chem,Chem,621,,,,Bilirubin,ACnc,Pt,Urine,Ord,,Urine,,
,6874-2,Calcium [Mass/time] in 24 hour Urine,Chem,Chem,902,mg/(24.h),mg/24h,,Calcium,MRat,24H,Urine,Qn,,Urine,,
,18488-7,Calcium [Mass/volume] in 24 hour Urine,Chem,Chem,1090,mg/L,mg/L,,Calcium,MCnc,24H,Urine,Qn,,Urine,,
,35675-8,Calcium [Mass/volume] in unspecified time Urine,Chem,Chem,1359,mg/dL,mg/dL,,Calcium,MCnc,XXX,Urine,Qn,,Urine,,
,17862-4,Calcium [Mass/volume] in Urine,Chem,Chem,859,mg/dL,mg/dL,,Calcium,MCnc,Pt,Urine,Qn,,Urine,,
,13538-4,"Carbon dioxide, total [Moles/volume] in Urine",Chem,Chem,1852,mmol/L,mmol/L,,Carbon dioxide,SCnc,Pt,Urine,Qn,,Urine,,
,35676-6,Chloride [Moles/volume] in unspecified time Urine,Chem,Chem,997,mmol/L,mmol/L,,Chloride,SCnc,XXX,Urine,Qn,,Urine,Cl UR,
,2078-4,Chloride [Moles/volume] in Urine,Chem,Chem,697,mmol/L,mmol/L,,Chloride,SCnc,Pt,Urine,Qn,,Urine,Cl UR,
,2106-3,Choriogonadotropin (Pregnancy test) [Presence] in Urine,Chem,Chem,184,,,Pregnancy test,Choriogonadotropin (pregnancy test),ACnc,Pt,Urine,Ord,,Urine,HCG,
,2112-1,Choriogonadotropin.beta subunit (Pregnancy test) [Presence] in Urine,Chem,Chem,1227,,,Pregnancy test,Choriogonadotropin.beta subunit (pregnancy test),ACnc,Pt,Urine,Ord,,Urine,HCG,
,6687-8,Citrate [Mass/time] in 24 hour Urine,Chem,Chem,1252,mg/(24.h),mg/24h,,Citrate,MRat,24H,Urine,Qn,,Urine,,
,27939-8,Collagen crosslinked N-telopeptide [Moles/volume] in Urine,Chem,Chem,1419,nmol/ml,nmol/ml,,Collagen crosslinked N-telopeptide,SCnc,Pt,Urine,Qn,,Urine,,
,14115-0,Collagen crosslinked N-telopeptide/Creatinine [Molar ratio] in Urine,Chem,Chem,1140,nmol{BCE}/mmol{creat},nmolBCE/mmolcreat,,Collagen crosslinked N-telopeptide/Creatinine,SCrto,Pt,Urine,Qn,,Urine,,
,13362-9,Collection duration of Urine,SPEC,Chem,258,h,h,,Collection duration,Time,*,Urine,Qn,,Urine,Chem,
,19086-8,Collection of urine specimen end date,SPEC,Chem,1688,{date},date,,Collection end date,TmStp,Pt,Urine,Qn,,Urine,,
,19087-6,Collection of urine specimen end time,SPEC,Chem,1689,{clock time},clock time,,Collection end time,TmStp,Pt,Urine,Qn,,Urine,,
,19088-4,Collection of urine specimen start date,SPEC,Chem,1683,{date},date,,Collection start date,TmStp,Pt,Urine,Qn,,Urine,,
,19089-2,Collection of urine specimen start time,SPEC,Chem,1685,{clock time},clock time,,Collection start time,TmStp,Pt,Urine,Qn,,Urine,,
,2147-7,Cortisol Free [Mass/time] in 24 hour Urine,Chem,Chem,1061,ug/(24.h),ug/24h,,Cortisol.free,MRat,24H,Urine,Qn,,Urine,,
,11040-3,Cortisol Free [Mass/volume] in Urine,Chem,Chem,1474,ug/dL,ug/dL,,Cortisol.free,MCnc,Pt,Urine,Qn,,Urine,,
,2162-6,Creatinine [Mass/time] in 24 hour Urine,Chem,Chem,445,g/(24.h),g/24h,,Creatinine,MRat,24H,Urine,Qn,,Urine,,
,20624-3,Creatinine [Mass/volume] in 24 hour Urine,Chem,Chem,1978,mg/dL,mg/dL,,Creatinine,MCnc,24H,Urine,Qn,,Urine,,
,35674-1,Creatinine [Mass/volume] in unspecified time Urine,Chem,Chem,359,mg/dL,mg/dL,,Creatinine,MCnc,XXX,Urine,Qn,,Urine,Creat UR,
